"citation_count","client_name_keyword",Count
0,Zenodo,205208
0,DRYAD,29770
0,"Leibniz-Institut für Astrophysik Potsdam (AIP)",22555
0,"Russian Agency for Digital Standardization",19635
0,HEPData,8389
10,Zenodo,11232
10,HEPData,940
10,"Global Biodiversity Information Facility",343
10,"RWI - Rheinisch-Westfälisches Institut für Wirtschaftsforschung e.V.",100
10,"Institut Français de Recherche pour l'Exploitation de la Mer",50
10,"__other__",39
20,Zenodo,1680
20,HEPData,361
20,"Global Biodiversity Information Facility",139
20,"SiB Colombia - GBIF Colombia",17
20,"Caltech Library",7
20,"__other__",9
30,Zenodo,434
30,HEPData,138
30,"Global Biodiversity Information Facility",135
30,"Vlaams Instituut voor de Zee",6
30,"GEOMAR-Bibliothek",5
30,"__other__",6
40,Zenodo,174
40,HEPData,99
40,"Global Biodiversity Information Facility",87
40,"SiB Colombia - GBIF Colombia",12
40,"Institut Français de Recherche pour l'Exploitation de la Mer",4
40,"__other__",2
50,Zenodo,106
50,"Global Biodiversity Information Facility",80
50,HEPData,67
50,"SiB Colombia - GBIF Colombia",7
50,"Alfred Wegener Institute",2
50,"__other__",1
60,"Global Biodiversity Information Facility",52
60,Zenodo,47
60,HEPData,25
60,"SiB Colombia - GBIF Colombia",9
60,"Alfred Wegener Institute",3
70,"Global Biodiversity Information Facility",52
70,Zenodo,40
70,HEPData,38
70,"SiB Colombia - GBIF Colombia",7
70,"Infraestructura Mundial de Información en Biodiversidad",1
80,"Global Biodiversity Information Facility",51
80,HEPData,46
80,Zenodo,16
80,"SiB Colombia - GBIF Colombia",3
80,Canadensys,1
90,"Global Biodiversity Information Facility",44
90,HEPData,18
90,Zenodo,18
90,"SiB Colombia - GBIF Colombia",2
90,"Institut Français de Recherche pour l'Exploitation de la Mer",1
100,"Global Biodiversity Information Facility",33
100,HEPData,21
100,Zenodo,8
100,"SiB Colombia - GBIF Colombia",5
100,"Earth Observing System Data and Information System",1
110,"Global Biodiversity Information Facility",33
110,HEPData,16
110,Zenodo,10
110,"SiB Colombia - GBIF Colombia",3
110,"Marine Biological Association",1
120,"Global Biodiversity Information Facility",35
120,HEPData,13
120,Zenodo,12
120,"Infraestructura Mundial de Información en Biodiversidad",1
120,"SiB Colombia - GBIF Colombia",1
130,"Global Biodiversity Information Facility",42
130,HEPData,7
130,Zenodo,6
130,PANGAEA,3
130,Canadensys,1
140,"Global Biodiversity Information Facility",64
140,Zenodo,8
140,PANGAEA,5
140,HEPData,4
140,"SiB Colombia - GBIF Colombia",3
150,"Global Biodiversity Information Facility",77
150,PANGAEA,8
150,Zenodo,7
150,HEPData,6
150,"SiB Colombia - GBIF Colombia",2
