"citation_count","types_resourceTypeGeneral",Count
0,Text,170928
0,Dataset,82790
0,Image,59704
0,Collection,9378
0,Software,4416
0,"__other__",4351
10,Text,9520
10,Image,1583
10,Collection,960
10,Dataset,789
10,Software,21
10,"__other__",67
20,Text,1358
20,Collection,363
20,Image,316
20,Dataset,204
20,JournalArticle,7
20,"__other__",11
30,Text,338
30,Dataset,169
30,Collection,139
30,Image,98
30,JournalArticle,3
30,"__other__",7
40,Text,128
40,Dataset,116
40,Collection,99
40,Image,41
40,JournalArticle,3
40,"__other__",3
50,Dataset,93
50,Text,76
50,Collection,68
50,Image,29
50,Report,2
50,"__other__",2
60,Dataset,66
60,Text,32
60,Collection,25
60,Image,13
60,Report,3
60,"__other__",1
70,Dataset,61
70,Collection,38
70,Text,24
70,Image,13
70,JournalArticle,3
80,Dataset,57
80,Collection,48
80,Text,11
80,Image,5
80,Software,1
90,Dataset,47
90,Collection,18
90,Text,16
90,Image,2
100,Dataset,40
100,Collection,21
100,Text,7
100,Image,1
100,Other,1
110,Dataset,38
110,Collection,16
110,Text,8
110,Image,1
110,JournalArticle,1
120,Dataset,37
120,Collection,13
120,Text,12
130,Dataset,48
130,Collection,7
130,Text,3
130,Image,2
130,JournalArticle,1
140,Dataset,73
140,Collection,4
140,Text,4
140,JournalArticle,2
140,Image,1
140,"__other__",1
150,Dataset,88
150,Collection,6
150,Text,5
150,Image,1
150,JournalArticle,1
160,Dataset,119
160,Text,10
160,JournalArticle,7
160,Image,1
170,Dataset,145
170,Text,10
170,JournalArticle,9
170,BookChapter,2
170,Collection,2
180,Dataset,154
180,JournalArticle,10
180,Text,8
180,BookChapter,2
190,Dataset,271
190,JournalArticle,19
190,Text,11
200,Dataset,373
200,JournalArticle,12
200,Text,7
200,Collection,1
210,Dataset,444
210,JournalArticle,20
210,Text,14
220,Dataset,486
220,JournalArticle,13
220,Text,6
220,Collection,2
230,Dataset,621
230,Text,18
230,JournalArticle,15
230,Collection,7
230,Book,1
230,"__other__",1
240,Dataset,686
240,JournalArticle,21
240,Text,8
240,Collection,4
250,Dataset,807
250,JournalArticle,19
250,Text,8
260,Dataset,725
260,JournalArticle,16
260,Text,12
260,PhysicalObject,1
270,Dataset,730
270,JournalArticle,21
270,Text,4
270,Collection,2
270,BookChapter,1
280,Dataset,666
280,JournalArticle,15
280,Text,12
290,Dataset,663
290,JournalArticle,16
290,Text,7
290,BookChapter,2
300,Dataset,677
300,JournalArticle,25
300,Text,9
310,Dataset,661
310,JournalArticle,16
310,Text,8
310,BookChapter,2
310,Collection,2
320,Dataset,549
320,JournalArticle,16
320,Text,2
320,BookChapter,1
330,Dataset,481
330,JournalArticle,12
340,Dataset,472
340,JournalArticle,17
340,Text,9
340,Collection,2
350,Dataset,408
350,JournalArticle,13
350,Text,5
360,Dataset,389
360,JournalArticle,10
360,Collection,8
360,Text,6
370,Dataset,347
370,Text,8
370,JournalArticle,6
370,Collection,2
380,Dataset,332
380,JournalArticle,15
380,Text,6
390,Dataset,261
390,JournalArticle,12
390,Text,6
390,BookChapter,1
400,Dataset,249
400,JournalArticle,11
400,Text,3
410,Dataset,260
410,JournalArticle,14
410,BookChapter,1
420,Dataset,229
420,JournalArticle,7
420,Collection,5
420,Text,1
430,Dataset,228
430,JournalArticle,8
430,Text,2
440,Dataset,204
440,JournalArticle,6
440,Text,2
440,Collection,1
450,Dataset,195
450,JournalArticle,6
450,Collection,2
450,Text,2
460,Dataset,183
460,JournalArticle,9
460,BookChapter,1
460,Text,1
470,Dataset,170
470,JournalArticle,6
470,BookChapter,1
470,Text,1
480,Dataset,155
480,JournalArticle,5
480,Text,3
490,Dataset,142
490,JournalArticle,5
490,BookChapter,1
500,Dataset,161
500,JournalArticle,2
510,Dataset,141
510,Text,2
510,BookChapter,1
510,JournalArticle,1
520,Dataset,138
520,JournalArticle,5
530,Dataset,100
530,Collection,2
530,JournalArticle,2
530,Text,1
540,Dataset,122
540,JournalArticle,3
550,Dataset,124
550,JournalArticle,4
550,Collection,1
560,Dataset,132
560,JournalArticle,4
570,Dataset,123
570,JournalArticle,1
570,Text,1
580,Dataset,101
580,JournalArticle,5
580,Text,2
590,Dataset,126
590,JournalArticle,3
600,Dataset,125
600,JournalArticle,1
610,Dataset,121
610,Text,1
620,Dataset,108
620,Collection,1
620,JournalArticle,1
620,Text,1
630,Dataset,117
630,JournalArticle,2
640,Dataset,106
640,Text,1
650,Dataset,109
650,JournalArticle,1
660,Dataset,111
670,Dataset,92
670,Collection,1
670,JournalArticle,1
680,Dataset,89
690,Dataset,90
700,Dataset,74
700,Collection,2
700,JournalArticle,2
700,Text,1
710,Dataset,77
710,Text,1
720,Dataset,81
720,Collection,1
730,Dataset,61
730,Collection,1
740,Dataset,66
740,JournalArticle,1
750,Dataset,86
750,JournalArticle,1
760,Dataset,60
770,Dataset,65
780,Dataset,82
780,JournalArticle,1
790,Dataset,72
800,Dataset,64
800,JournalArticle,2
810,Dataset,56
820,Dataset,60
830,Dataset,50
840,Dataset,59
850,Dataset,63
850,Collection,1
850,JournalArticle,1
850,Text,1
860,Dataset,56
870,Dataset,70
880,Dataset,50
890,Dataset,53
890,JournalArticle,1
900,Dataset,45
910,Dataset,56
910,JournalArticle,1
920,Dataset,41
930,Dataset,59
940,Dataset,47
940,JournalArticle,1
950,Dataset,53
960,Dataset,53
970,Dataset,48
980,Dataset,44
990,Dataset,32
