"citation_count","types.resourceTypeGeneral: Descending",Count
1,Dataset,75084
1,Text,68311
1,Image,23355
1,Collection,4177
1,Software,3741
1,"__other__",3466
2,Text,46016
2,Image,12862
2,Dataset,4846
2,Collection,1785
2,Software,446
2,"__other__",528
3,Image,14079
3,Text,11741
3,Dataset,1247
3,Collection,1030
3,Software,134
3,"__other__",136
4,Text,20890
4,Image,1925
4,Collection,765
4,Dataset,577
4,Software,39
4,"__other__",83
5,Text,4486
5,Image,4094
5,Collection,440
5,Dataset,327
5,Other,27
5,"__other__",42
6,Text,10936
6,Image,556
6,Collection,463
6,Dataset,216
6,Software,23
6,"__other__",41
7,Text,1873
7,Image,1703
7,Collection,256
7,Dataset,205
7,Software,7
7,"__other__",22
8,Text,5773
8,Image,279
8,Collection,273
8,Dataset,181
8,Other,7
8,"__other__",15
9,Text,902
9,Image,851
9,Collection,189
9,Dataset,107
9,Software,3
9,"__other__",7
10,Text,3378
10,Collection,169
10,Image,153
10,Dataset,147
10,Software,7
10,"__other__",11
11,Text,528
11,Image,466
11,Dataset,172
11,Collection,115
11,JournalArticle,5
11,"__other__",5
12,Text,1994
12,Dataset,125
12,Collection,123
12,Image,95
12,Other,3
12,"__other__",9
13,Image,338
13,Text,276
13,Collection,106
13,Dataset,69
13,JournalArticle,1
13,"__other__",4
14,Text,1458
14,Collection,105
14,Dataset,81
14,Image,45
14,Audiovisual,4
14,"__other__",7
15,Text,188
15,Image,173
15,Collection,69
15,Dataset,44
15,Other,2
15,"__other__",5
16,Text,879
16,Collection,86
16,Dataset,46
16,Image,26
16,Other,4
16,"__other__",7
17,Image,163
17,Text,105
17,Collection,47
17,Dataset,39
17,JournalArticle,1
17,"__other__",2
18,Text,622
18,Collection,87
18,Dataset,40
18,Image,20
18,Report,3
18,"__other__",3
19,Image,104
19,Text,92
19,Collection,53
19,Dataset,26
19,JournalArticle,2
19,"__other__",3
20,Text,431
20,Collection,61
20,Dataset,23
20,Image,22
20,Report,1
20,"__other__",1
21,Image,96
21,Text,44
21,Collection,29
21,Dataset,24
21,JournalArticle,1
21,"__other__",2
22,Text,277
22,Collection,64
22,Dataset,21
22,Image,16
22,JournalArticle,3
22,"__other__",2
23,Image,57
23,Text,41
23,Collection,34
23,Dataset,16
23,Report,1
23,"__other__",1
24,Text,212
24,Collection,56
24,Dataset,20
24,Image,11
25,Image,42
25,Text,34
25,Collection,30
25,Dataset,21
26,Text,148
26,Collection,26
26,Dataset,22
26,Image,13
26,OutputManagementPlan,1
27,Text,42
27,Image,28
27,Collection,14
27,Dataset,14
27,JournalArticle,1
28,Text,97
28,Collection,27
28,Dataset,22
28,Image,8
29,Text,32
29,Image,23
29,Collection,22
29,Dataset,21
29,JournalArticle,2
29,"__other__",2
30,Text,80
30,Collection,25
30,Dataset,12
30,Image,11
30,Report,1
31,Text,18
31,Collection,15
31,Dataset,14
31,Image,11
31,JournalArticle,1
31,"__other__",1
32,Text,60
32,Collection,24
32,Dataset,18
