"citation_count","types_resourceTypeGeneral",Count
0,Text,170025
0,Dataset,82682
0,Image,58853
0,Collection,9189
0,Software,4413
9,Text,9708
9,Image,2310
9,Collection,1009
9,Dataset,830
9,Software,21
9,"__other__",7
18,Text,1901
18,Collection,440
18,Image,381
18,Dataset,213
18,JournalArticle,6
18,"__other__",6
27,Text,415
27,Dataset,168
27,Collection,163
27,Image,121
27,JournalArticle,5
36,Text,174
36,Dataset,123
36,Collection,94
36,Image,58
36,JournalArticle,2
45,Dataset,95
45,Text,87
45,Collection,70
45,Image,34
45,JournalArticle,2
54,Dataset,73
54,Collection,51
54,Text,50
54,Image,15
54,BookChapter,1
54,"__other__",1
63,Dataset,58
63,Text,27
63,Collection,21
63,Image,16
63,Report,2
72,Dataset,47
72,Collection,37
72,Text,16
72,Image,9
72,JournalArticle,3
81,Dataset,55
81,Collection,44
81,Text,11
81,Image,5
81,Software,1
90,Dataset,43
90,Collection,18
90,Text,16
90,Image,2
99,Dataset,35
99,Collection,21
99,Text,7
99,Other,1
108,Dataset,34
108,Collection,16
108,Text,6
108,Image,2
108,JournalArticle,1
117,Dataset,36
117,Text,10
117,Collection,9
126,Dataset,39
126,Collection,9
126,Text,6
126,Image,2
135,Dataset,56
135,Collection,4
135,JournalArticle,2
135,Text,2
135,PhysicalObject,1
144,Dataset,69
144,Text,5
144,Collection,2
144,JournalArticle,2
144,Image,1
153,Dataset,75
153,Collection,6
153,Text,6
153,Image,1
153,JournalArticle,1
162,Dataset,114
162,Text,8
162,JournalArticle,6
162,Image,1
171,Dataset,134
171,JournalArticle,9
171,Text,9
171,BookChapter,2
171,Collection,2
180,Dataset,129
180,JournalArticle,10
180,Text,6
180,BookChapter,2
189,Dataset,231
189,JournalArticle,17
189,Text,9
198,Dataset,321
198,JournalArticle,10
198,Text,7
198,Collection,1
207,Dataset,387
207,Text,15
207,JournalArticle,12
216,Dataset,394
216,JournalArticle,20
216,Text,8
225,Dataset,479
225,JournalArticle,10
225,Text,6
225,Collection,2
225,Book,1
234,Dataset,604
234,JournalArticle,19
234,Text,15
234,Collection,11
234,BookChapter,1
243,Dataset,638
243,JournalArticle,16
243,Text,8
252,Dataset,721
252,JournalArticle,15
252,Text,7
261,Dataset,663
261,JournalArticle,16
261,Text,11
261,PhysicalObject,1
270,Dataset,649
270,JournalArticle,19
270,Text,4
270,Collection,2
270,BookChapter,1
279,Dataset,619
279,JournalArticle,12
279,Text,8
288,Dataset,592
288,JournalArticle,14
288,Text,9
288,BookChapter,2
297,Dataset,591
297,JournalArticle,30
297,Text,6
306,Dataset,623
306,Text,11
306,JournalArticle,8
306,Collection,2
315,Dataset,547
315,JournalArticle,18
315,Text,3
315,BookChapter,2
324,Dataset,475
324,JournalArticle,14
324,BookChapter,1
324,Text,1
333,Dataset,437
333,JournalArticle,8
333,Text,2
342,Dataset,412
342,JournalArticle,16
342,Text,7
342,Collection,2
351,Dataset,362
351,JournalArticle,12
351,Text,5
360,Dataset,352
360,JournalArticle,9
360,Collection,8
360,Text,5
369,Dataset,303
369,Text,7
369,JournalArticle,4
369,Collection,2
378,Dataset,317
378,JournalArticle,13
378,Text,7
387,Dataset,252
387,JournalArticle,14
387,Text,4
387,BookChapter,1
396,Dataset,223
396,JournalArticle,9
396,Text,6
405,Dataset,231
405,JournalArticle,12
414,Dataset,239
414,JournalArticle,10
414,BookChapter,1
423,Dataset,193
423,Collection,5
423,JournalArticle,5
423,Text,2
432,Dataset,203
432,JournalArticle,7
432,Text,2
441,Dataset,186
441,JournalArticle,6
441,Collection,1
441,Text,1
450,Dataset,178
450,JournalArticle,6
450,Collection,2
450,Text,2
459,Dataset,166
459,JournalArticle,6
459,BookChapter,1
459,Text,1
468,Dataset,158
468,JournalArticle,8
468,Text,1
477,Dataset,151
477,JournalArticle,5
477,Text,3
477,BookChapter,1
486,Dataset,122
486,JournalArticle,5
495,Dataset,135
495,JournalArticle,2
495,BookChapter,1
504,Dataset,127
504,Text,2
504,JournalArticle,1
513,Dataset,137
513,JournalArticle,2
513,BookChapter,1
522,Dataset,123
522,JournalArticle,4
531,Dataset,88
531,Collection,2
531,JournalArticle,2
531,Text,1
540,Dataset,112
540,JournalArticle,2
549,Dataset,107
549,JournalArticle,4
549,Collection,1
558,Dataset,119
558,JournalArticle,4
567,Dataset,130
567,JournalArticle,2
576,Dataset,84
576,JournalArticle,2
576,Text,2
585,Dataset,100
585,JournalArticle,4
585,Text,1
594,Dataset,116
594,JournalArticle,2
603,Dataset,99
603,JournalArticle,1
612,Dataset,117
612,Text,1
621,Dataset,98
621,Collection,1
621,JournalArticle,1
621,Text,1
630,Dataset,109
630,JournalArticle,2
639,Dataset,94
648,Dataset,99
648,JournalArticle,1
648,Text,1
657,Dataset,96
666,Dataset,87
666,JournalArticle,1
675,Dataset,86
675,Collection,1
684,Dataset,78
693,Dataset,82
693,Text,1
702,Dataset,66
702,Collection,2
702,JournalArticle,2
711,Dataset,68
711,Text,1
720,Dataset,72
720,Collection,1
729,Dataset,60
738,Dataset,60
738,Collection,1
747,Dataset,63
747,JournalArticle,2
756,Dataset,70
765,Dataset,56
774,Dataset,58
774,JournalArticle,1
783,Dataset,81
792,Dataset,61
801,Dataset,56
801,JournalArticle,2
810,Dataset,46
819,Dataset,58
828,Dataset,45
837,Dataset,57
846,Dataset,54
846,Collection,1
846,JournalArticle,1
846,Text,1
855,Dataset,54
864,Dataset,53
873,Dataset,56
882,Dataset,44
891,Dataset,50
891,JournalArticle,1
