"types.resourceTypeGeneral: Descending","related_identifiers.relatedIdentifierType: Descending",Count
Dataset,DOI,6033115
Dataset,URL,586018
Dataset,Handle,84767
Dataset,PMID,37525
Dataset,bibcode,15681
Dataset,URN,5934
Dataset,PURL,2436
Dataset,IGSN,1901
Dataset,"__other__",218
Text,DOI,4080301
Text,URL,1333037
Text,ISBN,228376
Text,ISSN,210356
Text,LISSN,110966
Text,EISSN,95093
Text,URN,14152
Text,PMID,11307
Text,"__other__",8730
Image,DOI,1516304
Image,URL,1312485
Image,LSID,658297
Image,ISSN,289
Image,EISSN,279
Image,PMID,58
Image,URN,52
Image,Handle,35
Image,"__other__",16
PhysicalObject,URL,1094755
PhysicalObject,DOI,71108
PhysicalObject,URN,1
Collection,DOI,470154
Collection,URL,216601
Collection,Handle,192860
Collection,ISSN,673
Collection,ISBN,279
Collection,URN,190
Collection,PURL,167
Collection,IGSN,14
"__missing__",DOI,378587
"__missing__",URL,8229
"__missing__",ISSN,6151
"__missing__",ISBN,5603
"__missing__",Handle,1704
"__missing__",arXiv,495
"__missing__",URN,14
"__missing__",EISSN,1
Software,DOI,284551
Software,URL,249487
Software,URN,5034
Software,arXiv,673
Software,Handle,212
Software,ISBN,63
Software,ISSN,21
Software,bibcode,14
Software,"__other__",2
JournalArticle,DOI,209243
JournalArticle,URL,45239
JournalArticle,ISSN,13591
JournalArticle,LSID,662
JournalArticle,Handle,289
JournalArticle,ISBN,114
JournalArticle,URN,97
JournalArticle,EISSN,93
JournalArticle,"__other__",1
Other,DOI,150537
Other,URL,13918
Other,URN,277
Other,ISSN,157
Other,Handle,111
Other,ISBN,106
Other,arXiv,68
Other,bibcode,5
Audiovisual,DOI,117414
Audiovisual,URL,7689
Audiovisual,PURL,966
Audiovisual,arXiv,48
Audiovisual,Handle,31
Audiovisual,ISBN,8
Audiovisual,ISSN,8
Audiovisual,URN,8
Audiovisual,"__other__",1
ConferencePaper,DOI,27919
ConferencePaper,URL,7879
ConferencePaper,ISBN,628
ConferencePaper,ISSN,135
ConferencePaper,arXiv,15
ConferencePaper,Handle,13
ConferencePaper,EAN13,1
InteractiveResource,DOI,25989
InteractiveResource,URL,3717
InteractiveResource,ISBN,7
InteractiveResource,arXiv,6
InteractiveResource,ISSN,5
InteractiveResource,Handle,4
InteractiveResource,URN,4
Sound,PURL,15598
Sound,DOI,4813
Sound,URL,1494
Sound,Handle,4
Sound,ISBN,3
Sound,ISSN,1
Dissertation,URN,18291
Dissertation,DOI,36
Dissertation,URL,16
Dissertation,Handle,8
Dissertation,ISSN,6
Dissertation,ISBN,1
Report,DOI,10239
Report,URL,6006
Report,ISSN,2035
Report,ISBN,407
Report,Handle,111
Report,LSID,2
Report,URN,2
Report,bibcode,2
Report,"__other__",2
BookChapter,DOI,6373
BookChapter,URL,2515
BookChapter,ISBN,2411
BookChapter,ISSN,148
BookChapter,Handle,28
BookChapter,URN,17
BookChapter,LSID,6
Book,DOI,7972
Book,URL,3063
Book,ISBN,573
Book,URN,135
Book,ISSN,45
Book,Handle,17
Book,EAN13,4
Preprint,DOI,3921
Preprint,URL,954
Preprint,arXiv,33
Preprint,Handle,5
Preprint,ISSN,3
Preprint,ISBN,2
DataPaper,ISBN,1941
DataPaper,ISSN,202
DataPaper,DOI,37
DataPaper,URL,17
Workflow,DOI,1341
Workflow,URL,50
Workflow,ISBN,3
Workflow,arXiv,2
OutputManagementPlan,URL,832
OutputManagementPlan,DOI,616
OutputManagementPlan,arXiv,4
OutputManagementPlan,Handle,3
Event,DOI,835
Event,URL,62
Event,URN,15
Event,ISBN,5
Standard,DOI,266
Standard,ISSN,18
Standard,URL,1
Model,DOI,230
Model,URL,23
Model,ARK,1
Model,ISSN,1
Journal,ISSN,135
Journal,ISBN,110
Journal,DOI,12
Journal,EISSN,7
Journal,URL,1
Service,DOI,72
Service,URL,11
Service,bibcode,9
"__other__",DOI,8
"__other__",ISBN,7
"__other__",URL,5
"__other__",ISSN,3
"__other__",EISSN,2
"__other__",Handle,1
"__other__",arXiv,1
