"types_resourceTypeGeneral","provider_region",Count
Dataset,"__missing__",5622924
Dataset,EMEA,4931581
Dataset,AMER,1670538
Dataset,APAC,214641
Text,EMEA,3970761
Text,"__missing__",3447786
Text,AMER,2195392
Text,APAC,58952
Image,EMEA,1607674
Image,"__missing__",1540022
Image,AMER,76514
Image,APAC,1139
"__missing__",AMER,754951
"__missing__","__missing__",696294
"__missing__",EMEA,388011
"__missing__",APAC,10657
PhysicalObject,EMEA,1325446
PhysicalObject,"__missing__",73214
PhysicalObject,AMER,3961
PhysicalObject,APAC,1
Preprint,AMER,956827
Preprint,EMEA,4026
Preprint,"__missing__",10
Preprint,APAC,5
Other,AMER,415005
Other,"__missing__",295735
Other,EMEA,147612
Other,APAC,10774
Collection,"__missing__",621083
Collection,AMER,136913
Collection,EMEA,76315
Collection,APAC,383
Software,EMEA,280921
Software,"__missing__",20434
Software,AMER,16664
Software,APAC,493
Audiovisual,"__missing__",163280
Audiovisual,EMEA,64323
Audiovisual,AMER,17983
Audiovisual,APAC,1322
JournalArticle,EMEA,232118
JournalArticle,AMER,6793
JournalArticle,"__missing__",4271
JournalArticle,APAC,15
InteractiveResource,EMEA,109375
InteractiveResource,"__missing__",9443
InteractiveResource,AMER,304
InteractiveResource,APAC,33
Report,EMEA,82616
Report,AMER,2517
Report,"__missing__",2480
Report,APAC,118
Dissertation,"__missing__",40350
Dissertation,EMEA,29069
Dissertation,AMER,4000
Dissertation,APAC,4
Sound,"__missing__",19259
Sound,EMEA,19138
Sound,AMER,2276
Sound,APAC,3
ConferencePaper,EMEA,32585
ConferencePaper,"__missing__",669
ConferencePaper,AMER,79
ConferencePaper,APAC,4
Book,EMEA,17091
Book,"__missing__",785
Book,AMER,63
Book,APAC,13
BookChapter,EMEA,12490
BookChapter,"__missing__",841
BookChapter,AMER,18
BookChapter,APAC,1
Event,AMER,8733
Event,APAC,2384
Event,"__missing__",1588
Event,EMEA,374
DataPaper,EMEA,5734
DataPaper,"__missing__",4852
DataPaper,AMER,2283
DataPaper,APAC,10
Model,"__missing__",5385
Model,AMER,327
Model,EMEA,80
Model,APAC,21
Workflow,EMEA,1868
Workflow,"__missing__",1271
Workflow,AMER,9
Workflow,APAC,5
Standard,EMEA,1848
Standard,AMER,294
Standard,"__missing__",4
Film,AMER,805
Film,EMEA,617
Film,"__missing__",14
OutputManagementPlan,EMEA,619
OutputManagementPlan,AMER,500
OutputManagementPlan,"__missing__",17
ConferenceProceeding,EMEA,664
ConferenceProceeding,"__missing__",208
ConferenceProceeding,AMER,33
ConferenceProceeding,APAC,5
"__other__",EMEA,649
"__other__","__missing__",421
"__other__",AMER,60
"__other__",APAC,12
