"types.resourceTypeGeneral: Descending","publication_year per year",Count
Dataset,"-30231623780000",1
Dataset,"-30136929380000",1
Dataset,"-29442618980000",1
Dataset,"-29411082980000",3
Dataset,"-29379546980000",4
Dataset,"-27107486180000",2
Dataset,"-24519719780000",1
Dataset,"-23225879780000",4
Dataset,"-18050519780000",1
Dataset,"-15589156580000",5
Dataset,"-15462926180000",1
Dataset,"-11707636580000",1
Dataset,"-11676100580000",2
Dataset,"-11360481380000",1
Dataset,"-11328945380000",1
Dataset,"-11234250980000",2
Dataset,"-11013326180000",1
Dataset,"-10824023780000",1
Dataset,"-10603098980000",1
Dataset,"-10476868580000",1
Dataset,"-10445332580000",1
Dataset,"-10413796580000",1
Dataset,"-10003482980000",2
Dataset,"-9971946980000",1
Dataset,"-9687950180000",1
Dataset,"-9656414180000",1
Dataset,"-9593255780000",2
Dataset,"-9561719780000",3
Dataset,"-9530183780000",1
Dataset,"-9498561380000",1
Dataset,"-9467025380000",1
Dataset,"-9435489380000",1
Dataset,"-9403953380000",2
Dataset,"-9372330980000",1
Dataset,"-9340794980000",1
Dataset,"-9309258980000",1
Dataset,"-9277722980000",1
Dataset,"-9246100580000",1
Dataset,"-9214564580000",1
Dataset,"-9056798180000",1
Dataset,"-8930567780000",1
Dataset,"-8267966180000",1
Dataset,"-8015505380000",1
Dataset,"-6974039780000",2
Dataset,"-6942503780000",1
Dataset,"-6910967780000",1
Dataset,"-6879431780000",1
Dataset,"-6847809380000",3
Dataset,"-6816273380000",1
Dataset,"-6784737380000",1
Dataset,"-6753201380000",1
Dataset,"-6721578980000",1
Dataset,"-6690042980000",6
Dataset,"-6658506980000",1
Dataset,"-6563812580000",1
Dataset,"-6406046180000",1
Dataset,"-6374510180000",1
Dataset,"-6342887780000",2
Dataset,"-6311351780000",8
Dataset,"-6248279780000",1
Dataset,"-6216657380000",2
Dataset,"-6153585380000",1
Dataset,"-6090426980000",1
Dataset,"-6058890980000",4
Dataset,"-6027354980000",2
Dataset,"-5995818980000",1
Dataset,"-5901124580000",1
Dataset,"-5869588580000",3
Dataset,"-5837966180000",1
Dataset,"-5806430180000",1
Dataset,"-5711735780000",1
Dataset,"-5648663780000",1
Dataset,"-5553969380000",2
Dataset,"-5490897380000",1
Dataset,"-5459274980000",2
Dataset,"-5427738980000",3
Dataset,"-5364666980000",1
Dataset,"-5301594980000",1
Dataset,"-5270058980000",4
Dataset,"-5238522980000",2
Dataset,"-5175364580000",1
Dataset,"-5143828580000",1
Dataset,"-5112292580000",2
Dataset,"-5080670180000",1
Dataset,"-5049134180000",2
Dataset,"-5017598180000",1
Dataset,"-4986062180000",4
Dataset,"-4954439780000",1
Dataset,"-4922903780000",1
Dataset,"-4891367780000",2
Dataset,"-4859831780000",1
Dataset,"-4828209380000",1
Dataset,"-4796673380000",1
Dataset,"-4765137380000",1
Dataset,"-4733601380000",1
Dataset,"-4670442980000",2
