"types.resourceTypeGeneral: Descending",Count
Dataset,12439767
Text,9673047
Image,3225398
"__missing__",1849914
PhysicalObject,1402622
Preprint,960868
Other,869128
Collection,834786
Software,318520
Audiovisual,246914
JournalArticle,243324
InteractiveResource,119157
Report,87733
Dissertation,73423
Sound,40676
ConferencePaper,33337
Book,17952
BookChapter,13350
Event,13079
DataPaper,12879
Model,5813
Workflow,3153
Standard,2146
Film,1436
OutputManagementPlan,1136
ConferenceProceeding,910
"__other__",1142
