"schema_version: Descending","types.resourceTypeGeneral: Descending",Count
"http://datacite.org/schema/kernel-4",Dataset,9218604
"http://datacite.org/schema/kernel-4",Text,7341022
"http://datacite.org/schema/kernel-4",Image,2410294
"http://datacite.org/schema/kernel-4",PhysicalObject,1234461
"http://datacite.org/schema/kernel-4",Preprint,960820
"http://datacite.org/schema/kernel-3",Dataset,2157679
"http://datacite.org/schema/kernel-3","__missing__",1628441
"http://datacite.org/schema/kernel-3",Text,1167818
"http://datacite.org/schema/kernel-3",Other,405860
"http://datacite.org/schema/kernel-3",Collection,361585
"__missing__",Dataset,1015226
"__missing__",Text,1014847
"__missing__",Image,659988
"__missing__",PhysicalObject,162905
"__missing__","__missing__",110004
"__missing__","__other__",221164
"http://datacite.org/schema/kernel-2.2",Text,144983
"http://datacite.org/schema/kernel-2.2","__missing__",63902
"http://datacite.org/schema/kernel-2.2",Dataset,40986
"http://datacite.org/schema/kernel-2.2",Collection,26815
"http://datacite.org/schema/kernel-2.2",Image,15496
"http://datacite.org/schema/kernel-4.3","__missing__",19580
"http://datacite.org/schema/kernel-4.3",Dataset,325
"http://datacite.org/schema/kernel-4.3",Other,6
"__other__",Dataset,6851
"__other__",Text,4206
"__other__",JournalArticle,118
"__other__",Software,45
"__other__","__missing__",16
"__other__","__other__",13
